Retained Earnings to Total Assets,Total income/Total expense,Equity to Liability,Degree of Financial Leverage (DFL),Interest Expense Ratio,Interest Coverage Ratio (Interest expense to EBIT),Cash/Total Assets,Current Liability to Current Assets,Inventory/Working Capital,Operating profit per person,Total expense/Assets,Total Asset Growth Rate,Continuous Net Profit Growth Rate,Tax rate (A),No-credit Interval,Total Asset Return Growth Rate Ratio,Cash Flow to Liability,Quick Assets/Total Assets,Long-term fund suitability ratio (A),Cash Turnover Rate,bankrupt_status
-1.835987703358564,-0.0215512414375769,0.0809648790535313,-0.042559051581555,-0.0577093225120389,-0.0065048828828625,2.7133179028602106,-0.4648639312929832,-0.0317108554158699,-0.0117503456119236,0.828270174700271,1.187221130468164,-0.0102060826897785,-0.8195721966652347,0.0220387162781811,-0.0124508233707887,0.844668226742032,1.2051226327462363,-0.0998607068507262,-0.849047304854202,0
0.3685272720602295,-0.0234037266851462,-0.0415963762237202,-0.042559051581555,-0.0577093225120389,-0.0065048828828625,2.472672779841448,-0.5155234677143,-0.0350958735933618,-0.2144502473744912,0.6805159324082102,0.2710798825470316,-0.0107066495230515,-0.512439348092215,0.0208977998533318,-0.0278754560649711,0.7949291864206519,2.250564607986444,0.6757625752951429,-0.8490473048542173,0
0.3220768476231865,-0.0109361123135184,-0.5009162210154602,-0.0378053139712483,-0.0208404144375527,0.0160350379388134,-0.839336653710294,-0.0311280785247548,0.0207122343134537,0.1776001692061513,-0.0390660499078476,0.5753079195925398,-0.0102456825381103,0.7211388300966024,-0.0161597599884648,-0.0176893778707583,-0.085520494910811,-0.1337453498887502,-0.1190798043988707,-0.7031326964756026,0
-0.3125438039290971,-0.0352544817747677,-0.4279672288539737,-0.1039210012315837,-0.4484198569712802,-2.5568618487782917,-0.6489693062485737,-0.1348287765441498,-0.0266939134740052,-0.2843588790048958,-0.4328021765589327,0.585679329946364,-0.0145642316268922,-0.8195721966652347,0.1119620422279061,-0.0387891112731383,-0.2032651925607446,-0.8131054635571958,-0.1290342382119436,1.4747779396956464,0
1.283158653238807,0.0456981881083019,1.3086922236509395,-0.0422001897952489,-0.0552120442557349,-0.0046968612187735,1.317385356535063,-0.6833014392357042,-0.0387050275463481,0.2720997767869746,-0.6737899750598115,0.7032219806230375,-0.010557840717838,-0.3552680781651766,-0.2701689423112397,-0.0122325502666799,0.6541877248726647,0.5825028079109036,-0.1219823640165209,-0.849047304854206,0
0.1785684607661705,-0.0063256160354088,-0.174425195658634,-0.0297047985095641,0.0446336809361598,0.0484759706838837,-0.7182352802380483,0.4702049028932106,0.3522830191850215,0.3876773637538297,-0.7079745578846418,0.1639086422241821,-0.0104795691425215,-0.1533967222955861,0.0380911773392408,-0.023291720877614,-0.2549098679267037,-1.212753477440342,-0.1218789876224043,0.1237167510038046,0
0.2078417292986313,-0.0095618124204037,-0.2085546121971937,-0.0295107100139447,0.0330553908388963,0.0491755069446896,-0.7797010588524519,0.3909772105543351,0.0127529468766731,0.4224560297408152,-0.4411275613600067,0.2641656089778155,-0.0101847358965033,0.6656242072324629,-0.0121305983789754,-0.025183421113647,-0.1125160605219311,-0.595274630312999,-0.1301740520746955,-0.2782239526320183,0
-0.4445194689776948,-0.0414030760748111,0.2304289702766492,-0.0462879302340367,-0.1071554319861894,-0.026452753544311,-0.2534265041587147,-0.212984294037543,-0.0101920178594903,-0.6862456859656751,-0.3914333437460814,0.1327944111627097,-0.0163644778584826,-0.8195721966652347,0.0144057094648578,-0.0522492860298522,-0.3039287348478969,-0.7433512575086304,-0.1247984795804716,-0.8490473048542666,0
0.0343839423277394,-0.0235965968441718,-0.511421716027207,0.1851992262983579,0.2223036776053639,0.2642769097958055,-0.1364196847329531,0.1738352480788214,-0.0156869175183776,-0.1252201346401845,-0.4700394078082823,0.2365085147009511,-0.0123825274809274,-0.8195721966652347,0.0113850591016236,-0.0347874376968647,-0.0197499566742258,0.7145216907640083,-0.1009728942633253,0.4513490892615762,0
0.3427016756242516,-0.004718972695855,-0.4200641948363946,-0.0422347899866019,-0.0549850189596965,-0.0048703789531722,2.706392646483144,-0.1740345437030062,-0.0247646406138491,-0.1424338178054613,-0.4524233998479294,0.3125655239623282,-0.0091040931594862,0.8444245510026779,0.0262656625072448,-0.0085219074958571,0.4556081279324704,1.5519124727548186,-0.0483480714257387,-0.849047304854247,0
