Total income/Total expense,Degree of Financial Leverage (DFL),Current Liability to Current Assets,Interest Expense Ratio,Interest Coverage Ratio (Interest expense to EBIT),Operating profit per person,Cash/Total Assets,Inventory/Working Capital,Tax rate (A),No-credit Interval,Continuous Net Profit Growth Rate,Realized Sales Gross Profit Growth Rate,Total Asset Growth Rate,Cash Turnover Rate,Inventory Turnover Rate (times),Research and development expense rate,Fixed Assets Turnover Frequency,Quick Asset Turnover Rate,Operating Expense Rate,Current Asset Turnover Rate,bankrupt_status
0.1005671573800443,-0.0623028843977727,-0.181657139164078,0.0193739230950276,0.0795363069486146,0.0902334378132724,-0.5786183444852543,-0.0628393545397381,-0.5639424304114422,-0.0083916773122062,0.0875187620539881,-0.0416056919180845,-1.7596129179313449,-0.3260234413300454,-0.7089119618750438,1.209967706726656,-0.504078974512031,1.9544390806841576,-0.6022128898594321,2.673841457854637,0
-1.0357805747800612,-0.0758877262481007,2.2527889956449703,-0.046204497859388,-0.0826739770213259,-1.3271914103096452,-0.7364948641862036,-0.1124736518779468,-0.5639424304114422,0.1435010958626261,0.0770479819882072,-0.4228000751542444,0.0194856702951591,-0.7343477239609266,1.706635104777318,-0.7147784783103341,0.7296943678785228,1.1883145579474417,1.6550660081579258,-0.441206518760359,1
-0.71358382923687,-0.0711867471404026,-0.3232812410801207,-0.016918337210312,-0.019769052909254,-2.7351063792598644,-0.3079706121075907,0.0285124909578356,-0.5639424304114422,-0.025473234684266,-0.3338951730161432,-0.2008478107615924,-0.6849172757140365,-0.3783727083340046,1.997366761967248,-0.6714210379316061,-0.5040789745036286,0.413350136871455,1.1975094747760202,2.0380448925021954,1
-0.5320148378908078,-0.0703711094851533,-0.3167651542442937,-0.0133654809865404,-0.0096635907116555,-1.4721038548461762,-0.1928545154727243,0.0020964037094717,-0.5639424304114422,-0.0159406987959406,-0.0060280032556749,-0.1290167969465793,-1.0044005790952564,-0.0904517398122294,-0.7089119618751507,1.659750499440563,-0.5040789745117924,-0.5360549447661223,-0.6022128898593844,2.4358617378623824,1
-0.5896570083114285,-0.0746323444973819,0.357242737994457,-0.0332880392511499,-0.0650507059952076,-1.2289226588583315,-0.5875888795574195,-0.2896574460985575,-0.5639424304114422,-0.0388693233521176,0.0912808169084862,-0.1510227013339181,-0.8080915613549888,-0.7837056042789453,0.5158724662866473,-0.7147784783103341,-0.5040789745121164,1.8012141761368146,-0.6022128898593533,-0.4412065187603312,1
-0.6957800746211164,-0.0707038352103547,0.0244539145536546,-0.0124689658646163,-0.0137590844650527,-0.3576365860824492,0.1005295772385346,0.5525151168453496,-0.5639424304114422,-0.0199399459817153,0.0808239400887936,0.0796717872207208,-1.154519239720167,1.0126221006283378,-0.708911961875149,1.1289257620935194,-0.504078974511584,1.6155763110121486,-0.6022128898593321,-0.4412065187603592,1
0.8332943348479096,-0.0660890919203026,-0.5034538580585998,0.0097778908642495,0.0399538724772708,0.7092812868177492,1.1807720148639067,-0.0691736130061822,1.3725327599808892,0.1641726577776522,0.0855608578535024,-0.0622473638725047,0.6738490627627179,-0.8682122781566334,2.15201126047253,2.458013654076957,-0.5040789745121388,-0.6975304210967113,2.442063245574804,-0.4412065187603016,0
0.5973687365936847,-0.0683090180804257,-0.4254728844448988,-0.0023084611496773,0.0149240086652897,0.4085879644044681,0.1239562990753068,-0.0612071331679675,1.3957384544112157,0.138147335807336,0.0925198414963849,-0.0138588747211824,0.4967860271538491,-0.868212278156727,-0.7089119618751252,-0.7147784783103341,-0.5040789745121391,-0.6975304210967485,0.6972476649451365,-0.4412065187603496,1
0.0197860584857628,-0.0697397848031523,-0.836171437300638,-0.0105431185657252,-0.0019924553682217,0.0413254877821834,4.209130634181348,-0.0927540639528684,0.7059691923789023,-0.0036121033993097,0.0847381128135031,-0.0577370444004031,0.450595670038492,-0.8682122781565559,-0.7089119618751505,-0.7147784783101381,-0.5040789745107435,-0.6975304210967008,-0.6022128898591492,-0.4412065187603026,0
-0.0037527302066575,0.5632036496266349,0.7586692657235765,1.029181993001814,0.8066600931744715,0.321640497682549,-0.6459849361193223,-0.1359865321299847,-0.5639424304114422,0.2602167860309248,0.0952563274840925,0.6821558076678744,0.5314287949903669,0.1077276281313301,-0.7089119618751238,-0.5498581209819016,0.9800777814813446,1.285553439679409,0.1359783173299986,2.6916011384510736,1
